genbank_accession,gisaid_epi_isl,Originating Lab,Submitting Lab,Author
,EPI_ISL_430351,NYU Langone Health,"Departments of Pathology and Medicine, New York University School of Medicine",Maria Aguero-Rosenfeld et al A
,EPI_ISL_418190,NYU Langone Health,"Department of Pathology and Medicine, New York University School of Medicine",Margaret Black et al (https://dx.doi.org/10.1101/2020.04.15.20064931)
,EPI_ISL_457772,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_451477,NYU Langone Health,"Departments of Pathology and Medicine, New York University School of Medicine",Maria Aguero-Rosenfeld et al A
,EPI_ISL_421584,NYU Langone Health,"Departments of Pathology and Medicine, New York University School of Medicine",Maria Aguero-Rosenfeld et al A
,EPI_ISL_444687,NYU Langone Health,"Departments of Pathology and Medicine, New York University School of Medicine",Maria Aguero-Rosenfeld et al A
,EPI_ISL_447406,"Clinical Microbiology Laboratory, The Baruch Padeh Medical Center, Poriya",Stern Lab,Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
,EPI_ISL_418973,NYU Langone Health,"Department of Pathology and Medicine, New York University School of Medicine",Maria Aguero-Rosenfeld et al B (https://dx.doi.org/10.1101/2020.04.15.20064931)
,EPI_ISL_434549,Puerto Rico Department of Health,"Centers for Disease Control and Prevention, Dengue Branch",Gilberto A. Santiago et al
,EPI_ISL_457761,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_451412,NYU Langone Health,"Departments of Pathology and Medicine, New York University School of Medicine",Maria Aguero-Rosenfeld et al A
,EPI_ISL_450798,Jamaica Ministry of Health and Wellness,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Krista Queen et al A
,EPI_ISL_427586,NewYork-Presbyterian & Mason Lab,Mason Lab,Daniel J. Butler et al (https://dx.doi.org/10.1101/2020.04.20.048066)
,EPI_ISL_421716,NYU Langone Health,"Departments of Pathology and Medicine, New York University School of Medicine",Maria Aguero-Rosenfeld et al B (https://dx.doi.org/10.1101/2020.04.15.20064931)
,EPI_ISL_430798,"Departamento de Biología y genética molecular, IACA Laboratorios.",Área de Secuenciación del Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez,Nabaes Jodar et al A (https://dx.doi.org/10.1101/2020.05.23.20111443)
,EPI_ISL_422394,"NMIMR, Department of Virology","WACCBIP, University of Ghana",Joyce M. Ngoi et al
,EPI_ISL_436045,US VI Department of Health,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Ying Tao et al B
,EPI_ISL_435463,Robert Garry lab,Andersen lab at Scripps Research,Allison Smither et al
,EPI_ISL_445141,Robert Garry lab,Andersen lab at Scripps Research,Allison Smither et al
,EPI_ISL_426485,"AZ SPHL, Arizona Department of Health Services",TGen North,Jolene Bowers et al (https://dx.doi.org/10.1101/2020.05.08.20095935)
,EPI_ISL_426520,TGen North,TGen North,Jolene Bowers et al (https://dx.doi.org/10.1101/2020.05.08.20095935)
,EPI_ISL_420810,Utah Public Health Laboratory,Utah Public Health Laboratory,Erin Young et al
,EPI_ISL_457801,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_452107,LA Office of Public Health Laboratories,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Yan Li et al B
,EPI_ISL_435448,Robert Garry lab,Andersen lab at Scripps Research,Allison Smither et al
,EPI_ISL_437546,Robert Garry lab,Andersen lab at Scripps Research,Allison Smither et al
,EPI_ISL_436044,Louisiana Office of Public Health Laboratories,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Ying Tao et al B
,EPI_ISL_435450,Robert Garry lab,Andersen lab at Scripps Research,Allison Smither et al
,EPI_ISL_437547,Robert Garry lab,Andersen lab at Scripps Research,Allison Smither et al
,EPI_ISL_437548,Robert Garry lab,Andersen lab at Scripps Research,Allison Smither et al
,EPI_ISL_434860,Houston Methodist Hospital,Houston Methodist Hospital,S. Wesley Long et al (https://dx.doi.org/10.1101/2020.05.01.072652)
,EPI_ISL_435452,Robert Garry lab,Andersen lab at Scripps Research,Allison Smither et al
,EPI_ISL_445134,Robert Garry lab,Andersen lab at Scripps Research,Allison Smither et al
,EPI_ISL_424868,LA Office of Public Health Laboratories,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Yan Li et al B
,EPI_ISL_445130,Robert Garry lab,Andersen lab at Scripps Research,Allison Smither et al
,EPI_ISL_435466,Robert Garry lab,Andersen lab at Scripps Research,Allison Smither et al
,EPI_ISL_445136,Robert Garry lab,Andersen lab at Scripps Research,Allison Smither et al
,EPI_ISL_445144,Robert Garry lab,Andersen lab at Scripps Research,Allison Smither et al
,EPI_ISL_445138,Robert Garry lab,Andersen lab at Scripps Research,Allison Smither et al
,EPI_ISL_435451,Robert Garry lab,Andersen lab at Scripps Research,Allison Smither et al
,EPI_ISL_445121,Robert Garry lab,Andersen lab at Scripps Research,Allison Smither et al
,EPI_ISL_435447,Robert Garry lab,Andersen lab at Scripps Research,Allison Smither et al
,EPI_ISL_445131,Robert Garry lab,Andersen lab at Scripps Research,Allison Smither et al
,EPI_ISL_435467,Robert Garry lab,Andersen lab at Scripps Research,Allison Smither et al
,EPI_ISL_435453,Robert Garry lab,Andersen lab at Scripps Research,Allison Smither et al
,EPI_ISL_426435,RI State Health Laboratories,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Krista Queen et al A
,EPI_ISL_452106,LA Office of Public Health Laboratories,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Yan Li et al B
,EPI_ISL_435449,Robert Garry lab,Andersen lab at Scripps Research,Allison Smither et al
,EPI_ISL_435464,Robert Garry lab,Andersen lab at Scripps Research,Allison Smither et al
,EPI_ISL_435465,Robert Garry lab,Andersen lab at Scripps Research,Allison Smither et al
,EPI_ISL_426533,TGen North,TGen North,Jolene Bowers et al (https://dx.doi.org/10.1101/2020.05.08.20095935)
,EPI_ISL_435445,Robert Garry lab,Andersen lab at Scripps Research,Allison Smither et al
,EPI_ISL_437545,Robert Garry lab,Andersen lab at Scripps Research,Allison Smither et al
,EPI_ISL_435446,Robert Garry lab,Andersen lab at Scripps Research,Allison Smither et al
,EPI_ISL_445126,Robert Garry lab,Andersen lab at Scripps Research,Allison Smither et al
,EPI_ISL_445122,Robert Garry lab,Andersen lab at Scripps Research,Allison Smither et al
,EPI_ISL_450231,Robert Garry lab,Andersen lab at Scripps Research,Allison Smither et al
,EPI_ISL_426064,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al A
,EPI_ISL_426063,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al A
,EPI_ISL_426074,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al A
,EPI_ISL_437826,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al A
,EPI_ISL_430952,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al A
,EPI_ISL_426062,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al A
,EPI_ISL_457785,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_430947,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al A
,EPI_ISL_426073,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al A
,EPI_ISL_438238,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_457790,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_426061,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al A
,EPI_ISL_426069,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al A
,EPI_ISL_424318,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al A
,EPI_ISL_426066,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al A
,EPI_ISL_426067,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al A
,EPI_ISL_426058,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al A
,EPI_ISL_436835,"Michigan Department of Health and Human Services, Bureau of Laboratories","Michigan Department of Health and Human Services, Bureau of Laboratories",Blankenship HM et al
,EPI_ISL_424319,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al A
,EPI_ISL_424321,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al A
,EPI_ISL_429599,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al A
,EPI_ISL_426072,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al A
,EPI_ISL_426060,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al A
,EPI_ISL_426065,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al A
,EPI_ISL_437516,Alaska State Virology Laboratory,Alaska State Virology Laboratory,Jack Chen et al
,EPI_ISL_429601,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al A
,EPI_ISL_427169,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al A
,EPI_ISL_429610,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al A
,EPI_ISL_426071,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al A
,EPI_ISL_452320,"Michigan Department of Health and Human Services, Bureau of Laboratories","Michigan Department of Health and Human Services, Bureau of Laboratories",Blankenship HM et al
,EPI_ISL_438222,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_457810,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_434639,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_437399,Virginia DCLS,Virginia DCLS,Virginia DCLS et al
,EPI_ISL_420027,Virginia DCLS,Virginia DCLS,Virginia DCLS et al
,EPI_ISL_438229,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_421551,Wyoming Public Health Laboratory,"Center for Global Health, University of New Mexico Health Sciences Center",Daryl Domman et al
,EPI_ISL_421718,NYU Langone Health,"Departments of Pathology and Medicine, New York University School of Medicine",Maria Aguero-Rosenfeld et al A
,EPI_ISL_421756,"Laboratoire National de Sante, Microbiology, Virology","Laboratoire National de Sante, Microbiology, Epidemiology and Microbial Genomics",Anke Wienecke-Baldacchino et al
,EPI_ISL_450799,Jamaica Ministry of Health and Wellness,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Yan Li et al B
,EPI_ISL_421721,NYU Langone Health,"Departments of Pathology and Medicine, New York University School of Medicine",Maria Aguero-Rosenfeld et al B (https://dx.doi.org/10.1101/2020.04.15.20064931)
,EPI_ISL_457755,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_454605,Institute for Public Health,Laboratory for advanced genomics,Filip Rokić et al
,EPI_ISL_419708,Virginia DCLS,Virginia DCLS,Virginia DCLS et al
,EPI_ISL_429622,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al A
,EPI_ISL_427189,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al A
,EPI_ISL_437803,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al A
,EPI_ISL_428202,Nebraska Public Health Laboratory,UNMC COVID-19 Response Team,UNMC COVID-19 Response Team et al
,EPI_ISL_428205,Nebraska Public Health Laboratory,UNMC COVID-19 Response Team,UNMC COVID-19 Response Team et al
,EPI_ISL_419257,Virginia DCLS,Virginia DCLS,Virginia DCLS et al
,EPI_ISL_420022,Virginia DCLS,Virginia DCLS,Virginia DCLS et al
,EPI_ISL_420019,Virginia DCLS,Virginia DCLS,Virginia DCLS et al
,EPI_ISL_420021,Virginia DCLS,Virginia DCLS,Virginia DCLS et al
,EPI_ISL_419258,Virginia DCLS,Virginia DCLS,Virginia DCLS et al
,EPI_ISL_420020,Virginia DCLS,Virginia DCLS,Virginia DCLS et al
,EPI_ISL_420629,Virginia DCLS,Virginia DCLS,Virginia DCLS et al
,EPI_ISL_420630,Virginia DCLS,Virginia DCLS,Virginia DCLS et al
,EPI_ISL_426455,Virginia DCLS,Virginia DCLS,Virginia DCLS et al
,EPI_ISL_417856,The National University Hospital of Iceland,deCODE genetics,Daniel F Gudbjartsson et al (https://dx.doi.org/10.1056/NEJMoa2006100)
,EPI_ISL_417687,The National University Hospital of Iceland,deCODE genetics,Daniel F Gudbjartsson et al (https://dx.doi.org/10.1056/NEJMoa2006100)
,EPI_ISL_427569,NewYork-Presbyterian & Mason Lab,Mason Lab,Daniel J. Butler et al (https://dx.doi.org/10.1101/2020.04.20.048066)
,EPI_ISL_421543,Wyoming Public Health Laboratory,"Center for Global Health, University of New Mexico Health Sciences Center",Daryl Domman et al
,EPI_ISL_421553,Wyoming Public Health Laboratory,"Center for Global Health, University of New Mexico Health Sciences Center",Daryl Domman et al
,EPI_ISL_444617,NYU Langone Health,"Departments of Pathology and Medicine, New York University School of Medicine",Maria Aguero-Rosenfeld et al A
,EPI_ISL_438232,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_457778,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_430795,Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez,Área de Secuenciación del Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez,Nabaes Jodar et al B
,EPI_ISL_429996,Biolab Diagnostic Laboratories,Andersen lab at Scripps Research,Issa Abu-Dayyeh et al
,EPI_ISL_430006,Biolab Diagnostic Laboratories,Andersen lab at Scripps Research,Issa Abu-Dayyeh et al
,EPI_ISL_451407,NYU Langone Health,"Departments of Pathology and Medicine, New York University School of Medicine",Maria Aguero-Rosenfeld et al A
,EPI_ISL_428377,Yale COVID-19 Biorepository,Grubaugh Lab - Yale School of Public Health,Joseph Fauver et al B
,EPI_ISL_455434,Instituto de Diagnostico y Referencia Epidemiologicos (INDRE),Instituto de Diagnostico y Referencia Epidemiologicos (INDRE),Taboada Ramírez Blanca. Ramirez-Gonzalez Ernesto et al
,EPI_ISL_457780,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_434587,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_424878,NJ Public Health and Environmental Laboratories,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Yan Li et al B
,EPI_ISL_455429,Nigeria Centre for Disease Control (NCDC),"African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria",Oluniyi P.E. et al A (https://virological.org/t/sars-cov-2-genomes-from-nigeria-reveal-community-transmission-multiple-virus-lineages-and-spike-protein-mutation-associated-with-higher-transmission-and-pathogenicity/494)
,EPI_ISL_434638,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_444995,Naval Health Research Center,Naval Medical Research Center Biological Defense Research Directorate,Logan Voegtly et al
